Date,Year,Month,MonthNo,Quarter,YearMonth
01-01-2025,2025,Jan,1,Q1,2025-01
02-01-2025,2025,Jan,1,Q1,2025-01
03-01-2025,2025,Jan,1,Q1,2025-01
04-01-2025,2025,Jan,1,Q1,2025-01
05-01-2025,2025,Jan,1,Q1,2025-01
06-01-2025,2025,Jan,1,Q1,2025-01
07-01-2025,2025,Jan,1,Q1,2025-01
08-01-2025,2025,Jan,1,Q1,2025-01
09-01-2025,2025,Jan,1,Q1,2025-01
10-01-2025,2025,Jan,1,Q1,2025-01
11-01-2025,2025,Jan,1,Q1,2025-01
12-01-2025,2025,Jan,1,Q1,2025-01
13-01-2025,2025,Jan,1,Q1,2025-01
14-01-2025,2025,Jan,1,Q1,2025-01
15-01-2025,2025,Jan,1,Q1,2025-01
16-01-2025,2025,Jan,1,Q1,2025-01
17-01-2025,2025,Jan,1,Q1,2025-01
18-01-2025,2025,Jan,1,Q1,2025-01
19-01-2025,2025,Jan,1,Q1,2025-01
20-01-2025,2025,Jan,1,Q1,2025-01
21-01-2025,2025,Jan,1,Q1,2025-01
22-01-2025,2025,Jan,1,Q1,2025-01
23-01-2025,2025,Jan,1,Q1,2025-01
24-01-2025,2025,Jan,1,Q1,2025-01
25-01-2025,2025,Jan,1,Q1,2025-01
26-01-2025,2025,Jan,1,Q1,2025-01
27-01-2025,2025,Jan,1,Q1,2025-01
28-01-2025,2025,Jan,1,Q1,2025-01
29-01-2025,2025,Jan,1,Q1,2025-01
30-01-2025,2025,Jan,1,Q1,2025-01
31-01-2025,2025,Jan,1,Q1,2025-01
01-02-2025,2025,Feb,2,Q1,2025-02
02-02-2025,2025,Feb,2,Q1,2025-02
03-02-2025,2025,Feb,2,Q1,2025-02
04-02-2025,2025,Feb,2,Q1,2025-02
05-02-2025,2025,Feb,2,Q1,2025-02
06-02-2025,2025,Feb,2,Q1,2025-02
07-02-2025,2025,Feb,2,Q1,2025-02
08-02-2025,2025,Feb,2,Q1,2025-02
09-02-2025,2025,Feb,2,Q1,2025-02
10-02-2025,2025,Feb,2,Q1,2025-02
11-02-2025,2025,Feb,2,Q1,2025-02
12-02-2025,2025,Feb,2,Q1,2025-02
13-02-2025,2025,Feb,2,Q1,2025-02
14-02-2025,2025,Feb,2,Q1,2025-02
15-02-2025,2025,Feb,2,Q1,2025-02
16-02-2025,2025,Feb,2,Q1,2025-02
17-02-2025,2025,Feb,2,Q1,2025-02
18-02-2025,2025,Feb,2,Q1,2025-02
19-02-2025,2025,Feb,2,Q1,2025-02
20-02-2025,2025,Feb,2,Q1,2025-02
21-02-2025,2025,Feb,2,Q1,2025-02
22-02-2025,2025,Feb,2,Q1,2025-02
23-02-2025,2025,Feb,2,Q1,2025-02
24-02-2025,2025,Feb,2,Q1,2025-02
25-02-2025,2025,Feb,2,Q1,2025-02
26-02-2025,2025,Feb,2,Q1,2025-02
27-02-2025,2025,Feb,2,Q1,2025-02
28-02-2025,2025,Feb,2,Q1,2025-02
01-03-2025,2025,Mar,3,Q1,2025-03
02-03-2025,2025,Mar,3,Q1,2025-03
03-03-2025,2025,Mar,3,Q1,2025-03
04-03-2025,2025,Mar,3,Q1,2025-03
05-03-2025,2025,Mar,3,Q1,2025-03
06-03-2025,2025,Mar,3,Q1,2025-03
07-03-2025,2025,Mar,3,Q1,2025-03
08-03-2025,2025,Mar,3,Q1,2025-03
09-03-2025,2025,Mar,3,Q1,2025-03
10-03-2025,2025,Mar,3,Q1,2025-03
11-03-2025,2025,Mar,3,Q1,2025-03
12-03-2025,2025,Mar,3,Q1,2025-03
13-03-2025,2025,Mar,3,Q1,2025-03
14-03-2025,2025,Mar,3,Q1,2025-03
15-03-2025,2025,Mar,3,Q1,2025-03
16-03-2025,2025,Mar,3,Q1,2025-03
17-03-2025,2025,Mar,3,Q1,2025-03
18-03-2025,2025,Mar,3,Q1,2025-03
19-03-2025,2025,Mar,3,Q1,2025-03
20-03-2025,2025,Mar,3,Q1,2025-03
21-03-2025,2025,Mar,3,Q1,2025-03
22-03-2025,2025,Mar,3,Q1,2025-03
23-03-2025,2025,Mar,3,Q1,2025-03
24-03-2025,2025,Mar,3,Q1,2025-03
25-03-2025,2025,Mar,3,Q1,2025-03
26-03-2025,2025,Mar,3,Q1,2025-03
27-03-2025,2025,Mar,3,Q1,2025-03
28-03-2025,2025,Mar,3,Q1,2025-03
29-03-2025,2025,Mar,3,Q1,2025-03
30-03-2025,2025,Mar,3,Q1,2025-03
31-03-2025,2025,Mar,3,Q1,2025-03
01-04-2025,2025,Apr,4,Q2,2025-04
02-04-2025,2025,Apr,4,Q2,2025-04
03-04-2025,2025,Apr,4,Q2,2025-04
04-04-2025,2025,Apr,4,Q2,2025-04
05-04-2025,2025,Apr,4,Q2,2025-04
06-04-2025,2025,Apr,4,Q2,2025-04
07-04-2025,2025,Apr,4,Q2,2025-04
08-04-2025,2025,Apr,4,Q2,2025-04
09-04-2025,2025,Apr,4,Q2,2025-04
10-04-2025,2025,Apr,4,Q2,2025-04
11-04-2025,2025,Apr,4,Q2,2025-04
