OrderID,OrderDate,Region,Category,SubCategory,Product,Quantity,UnitPrice,Sales
1016,2025-01-02,East,Technology,Accessories,USB-C Hub,1,206.26,206.26
1049,2025-01-02,North,Furniture,Chairs,Ergo Office Chair,5,196.78,983.9
1063,2025-01-02,North,Furniture,Bookcases,Oak Bookcase,7,707.51,4952.57
1030,2025-01-03,North,Furniture,Chairs,Ergo Office Chair,4,748.14,2992.56
1051,2025-01-03,North,Furniture,Bookcases,Oak Bookcase,2,725.87,1451.74
1040,2025-01-04,West,Furniture,Tables,Conference Table,7,173.99,1217.93
1060,2025-01-04,South,Technology,Phones,Smartphone X,3,235.83,707.49
1065,2025-01-04,North,Technology,Machines,Laser Printer,7,483.36,3383.52
1068,2025-01-04,East,Office Supplies,Binders,Ring Binder Pack,11,223.36,2456.96
1006,2025-01-05,South,Furniture,Bookcases,Oak Bookcase,7,299.11,2093.77
1057,2025-01-05,East,Furniture,Bookcases,Oak Bookcase,4,437.41,1749.64
1025,2025-01-06,West,Technology,Accessories,USB-C Hub,2,260.07,520.14
1032,2025-01-06,East,Furniture,Bookcases,Oak Bookcase,8,805.62,6444.96
1064,2025-01-06,West,Office Supplies,Binders,Ring Binder Pack,11,833.13,9164.43
1003,2025-01-07,South,Technology,Accessories,USB-C Hub,1,39.88,39.88
1001,2025-01-08,South,Technology,Phones,Smartphone X,1,634.19,634.19
1014,2025-01-08,South,Technology,Machines,Laser Printer,3,461.01,1383.03
1035,2025-01-08,North,Office Supplies,Storage,Storage Box Set,8,116.04,928.32
1037,2025-01-08,North,Furniture,Chairs,Ergo Office Chair,12,541.97,6503.64
1054,2025-01-08,East,Office Supplies,Binders,Ring Binder Pack,11,613.02,6743.22
1069,2025-01-08,South,Technology,Accessories,USB-C Hub,10,640.81,6408.1
1038,2025-01-09,West,Furniture,Tables,Conference Table,2,444.32,888.64
1062,2025-01-09,North,Technology,Machines,Laser Printer,5,437.02,2185.1
1061,2025-01-11,South,Office Supplies,Paper,A4 Paper Ream,10,190.88,1908.8
1070,2025-01-11,West,Furniture,Tables,Conference Table,1,164.77,164.77
1007,2025-01-12,East,Office Supplies,Binders,Ring Binder Pack,2,332.24,664.48
1012,2025-01-12,South,Office Supplies,Storage,Storage Box Set,6,150.82,904.92
1029,2025-01-12,East,Technology,Accessories,USB-C Hub,8,31.26,250.08
1066,2025-01-12,South,Technology,Phones,Smartphone X,9,45.08,405.72
1011,2025-01-13,East,Office Supplies,Binders,Ring Binder Pack,4,738.51,2954.04
1020,2025-01-13,East,Technology,Machines,Laser Printer,7,764.68,5352.76
1042,2025-01-13,East,Technology,Machines,Laser Printer,11,97.18,1068.98
1047,2025-01-13,East,Office Supplies,Binders,Ring Binder Pack,3,331.44,994.32
1053,2025-01-14,East,Technology,Machines,Laser Printer,1,532.18,532.18
1023,2025-01-15,East,Technology,Phones,Smartphone X,7,333.65,2335.55
1043,2025-01-15,South,Furniture,Chairs,Ergo Office Chair,4,173.82,695.28
1055,2025-01-15,East,Office Supplies,Binders,Ring Binder Pack,11,553.99,6093.89
1058,2025-01-15,East,Furniture,Chairs,Ergo Office Chair,6,252.96,1517.76
1046,2025-01-16,South,Furniture,Chairs,Ergo Office Chair,3,354.36,1063.08
1050,2025-01-16,South,Technology,Accessories,USB-C Hub,1,56.87,56.87
1026,2025-01-17,South,Furniture,Bookcases,Oak Bookcase,12,234.93,2819.16
1002,2025-01-18,North,Furniture,Bookcases,Oak Bookcase,2,580.04,1160.08
1008,2025-01-18,North,Technology,Accessories,USB-C Hub,1,624.33,624.33
1019,2025-01-18,East,Furniture,Tables,Conference Table,3,220.93,662.79
1031,2025-01-18,South,Technology,Accessories,USB-C Hub,2,831.62,1663.24
1033,2025-01-18,South,Technology,Machines,Laser Printer,7,820.24,5741.68
1045,2025-01-18,North,Office Supplies,Storage,Storage Box Set,2,57.24,114.48
1017,2025-01-19,East,Office Supplies,Paper,A4 Paper Ream,2,191.17,382.34
1036,2025-01-19,South,Office Supplies,Binders,Ring Binder Pack,10,477.52,4775.2
1039,2025-01-19,West,Furniture,Bookcases,Oak Bookcase,3,619.0,1857.0
1052,2025-01-19,South,Technology,Phones,Smartphone X,7,115.11,805.77
1056,2025-01-19,North,Furniture,Chairs,Ergo Office Chair,8,533.67,4269.36
1009,2025-01-21,East,Office Supplies,Binders,Ring Binder Pack,9,259.8,2338.2
1013,2025-01-21,North,Technology,Accessories,USB-C Hub,12,797.11,9565.32
1015,2025-01-21,South,Office Supplies,Paper,A4 Paper Ream,5,841.25,4206.25
1018,2025-01-21,West,Furniture,Bookcases,Oak Bookcase,8,345.35,2762.8
1027,2025-01-21,South,Technology,Phones,Smartphone X,11,264.2,2906.2
1034,2025-01-21,East,Technology,Accessories,USB-C Hub,7,845.95,5921.65
1010,2025-01-22,South,Technology,Phones,Smartphone X,12,73.08,876.96
1022,2025-01-22,West,Furniture,Chairs,Ergo Office Chair,11,148.58,1634.38
1024,2025-01-22,East,Technology,Phones,Smartphone X,11,616.8,6784.8
1004,2025-01-23,West,Technology,Machines,Laser Printer,1,483.64,483.64
1041,2025-01-24,North,Office Supplies,Paper,A4 Paper Ream,7,404.97,2834.79
1048,2025-01-24,West,Office Supplies,Paper,A4 Paper Ream,7,596.65,4176.55
1021,2025-01-25,North,Furniture,Chairs,Ergo Office Chair,9,427.09,3843.81
1028,2025-01-25,North,Furniture,Tables,Conference Table,3,465.38,1396.14
1067,2025-01-26,North,Office Supplies,Binders,Ring Binder Pack,1,272.4,272.4
1059,2025-01-27,East,Technology,Machines,Laser Printer,9,21.53,193.77
1005,2025-01-28,North,Furniture,Tables,Conference Table,10,247.29,2472.9
1044,2025-01-28,North,Office Supplies,Binders,Ring Binder Pack,5,401.29,2006.45
1105,2025-02-01,West,Office Supplies,Binders,Ring Binder Pack,5,378.92,1894.6
1137,2025-02-02,North,Furniture,Bookcases,Oak Bookcase,9,120.7,1086.3
1093,2025-02-04,West,Furniture,Bookcases,Oak Bookcase,4,781.09,3124.36
1115,2025-02-06,North,Office Supplies,Storage,Storage Box Set,5,655.36,3276.8
1136,2025-02-06,East,Furniture,Chairs,Ergo Office Chair,5,204.95,1024.75
1101,2025-02-07,West,Office Supplies,Storage,Storage Box Set,8,362.17,2897.36
1097,2025-02-08,East,Technology,Accessories,USB-C Hub,9,419.64,3776.76
1099,2025-02-08,West,Office Supplies,Storage,Storage Box Set,2,130.54,261.08
1076,2025-02-09,North,Furniture,Chairs,Ergo Office Chair,5,164.1,820.5
1098,2025-02-09,East,Office Supplies,Binders,Ring Binder Pack,12,253.58,3042.96
1127,2025-02-09,North,Office Supplies,Paper,A4 Paper Ream,10,600.49,6004.9
1082,2025-02-10,South,Technology,Accessories,USB-C Hub,6,351.0,2106.0
1116,2025-02-10,West,Furniture,Tables,Conference Table,2,498.2,996.4
1080,2025-02-11,East,Office Supplies,Paper,A4 Paper Ream,2,807.31,1614.62
1125,2025-02-11,North,Office Supplies,Storage,Storage Box Set,10,572.94,5729.4
1126,2025-02-12,East,Office Supplies,Paper,A4 Paper Ream,3,422.1,1266.3
1103,2025-02-13,West,Office Supplies,Binders,Ring Binder Pack,6,264.34,1586.04
1107,2025-02-13,North,Office Supplies,Binders,Ring Binder Pack,10,460.99,4609.9
1130,2025-02-13,South,Office Supplies,Binders,Ring Binder Pack,2,260.69,521.38
1095,2025-02-14,West,Office Supplies,Storage,Storage Box Set,12,759.84,9118.08
1100,2025-02-14,West,Technology,Phones,Smartphone X,12,193.65,2323.8
1128,2025-02-14,West,Technology,Phones,Smartphone X,2,216.53,433.06
